name,brand,price,original_price,discount,url,image_url
Şerit Detaylı Bordo Omuz Çantası,JWomen,284.13,643.5,,https://justyol.com/en/products/serit-detayli-bordo-omuz-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/serit-detayli-bordo-kol-cantasi-7616a9.jpg?v=1744458347
Flare Süet Vintage Bordo Kol Çantası,JWomen,251.46,627.0,,https://justyol.com/en/products/flare-suet-vintage-bordo-kol-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/velva-suet-vintage-bordo-kol-cantasi-3-66ba.jpg?v=1744457638
Steel Süet Taba Kadın Kol Çantası,JWomen,172.26,622.05,,https://justyol.com/en/products/steel-suet-taba-kadin-kol-cantasi-1,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/steel-taba-kol-cantasi--e3a3-4.jpg?v=1741611685
Flare Süet Vintage Gri Kol Çantası,JWomen,250.47,495.0,,https://justyol.com/en/products/flare-suet-vintage-gri-kol-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/roger-suet-vintage-gri-kol-cantasi--85c7.jpg?v=1744456180
Flare Süet Vintage Taba Kol Çantası,JWomen,250.47,495.0,,https://justyol.com/en/products/flare-suet-vintage-taba-kol-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/roger-suet-vintage-taba-kol-cantasi--902b.jpg?v=1744455512
keçe kapakli kirli çamaşir sepeti - çok amaçli saklama kutusu 55x40x30 cm mega hurç,Justyol,240.9,364.65,,https://justyol.com/en/products/kece-kapakli-kirli-camasir-sepeti-cok-amacli-saklama-kutusu-55x40x30-cm-mega-hurc-copy,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/kece-kapakli-kirli-camasir-sepeti-cok--9b8d0e.jpg?v=1734099000
Firuye Kanvas Taba Detaylı Kadın Kol Çantası,Kombinoloji,297.0,861.3,,https://justyol.com/en/products/firuye-kanvas-taba-detayli-kadin-kol-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/firuye-kanvas-taba-detayli-kadin-kol-c--30317.jpg?v=1744120522
Lorry Bordo Mini Kadın Kol Çantası,Kombinoloji,287.1,861.3,,https://justyol.com/en/products/lorry-bordo-mini-kadin-kol-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/lorry-bordo-mini-kadin-kol-cantasi-826e-4.jpg?v=1743304815
Lorry Gri Mini Kadın Kol Çantası,Kombinoloji,287.1,861.3,,https://justyol.com/en/products/lorry-gri-mini-kadin-kol-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/lorry-gri-mini-kadin-kol-cantasi-3fde-7.jpg?v=1743304812
Lorry Krem Mini Kadın Kol Çantası,Kombinoloji,287.1,861.3,,https://justyol.com/en/products/lorry-krem-mini-kadin-kol-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/lorry-krem-mini-kadin-kol-cantasi-c95cc7.jpg?v=1743283045
Lorry Pudra Mini Kadın Kol Çantası,Kombinoloji,287.1,861.3,,https://justyol.com/en/products/lorry-pudra-mini-kadin-kol-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/lorry-pudra-mini-kadin-kol-cantasi-272f01.jpg?v=1743283043
Lorry Taba Mini Kadın Kol Çantası,Kombinoloji,287.1,861.3,,https://justyol.com/en/products/lorry-taba-mini-kadin-kol-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/lorry-taba-mini-kadin-kol-cantasi-1f-247.jpg?v=1743283039
Lorry Acı Kahve Mini Kadın Kol Çantası,Kombinoloji,287.1,861.3,,https://justyol.com/en/products/lorry-aci-kahve-mini-kadin-kol-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/lorry-aci-kahve-mini-kadin-kol-cantasi-ad5237.jpg?v=1743759058
